fetch_ts_datetime,fetch_ts_ms,meta.instrument.base_currency,meta.instrument.block_trade_commission,meta.instrument.block_trade_min_trade_amount,meta.instrument.block_trade_tick_size,meta.instrument.contract_size,meta.instrument.counter_currency,meta.instrument.creation_timestamp,meta.instrument.creation_timestamp_datetime,meta.instrument.expiration_timestamp,meta.instrument.expiration_timestamp_datetime,meta.instrument.instrument_id,meta.instrument.instrument_name,meta.instrument.instrument_type,meta.instrument.is_active,meta.instrument.kind,meta.instrument.maker_commission,meta.instrument.min_trade_amount,meta.instrument.option_type,meta.instrument.price_index,meta.instrument.quote_currency,meta.instrument.settlement_currency,meta.instrument.settlement_period,meta.instrument.strike,meta.instrument.taker_commission,meta.instrument.tick_size,meta.instrument.tick_size_steps,parsed.base_currency,parsed.expiry_code,parsed.instrument_name,parsed.option_type,parsed.strike,rpc.jsonrpc,rpc.result.ask_iv,rpc.result.asks,rpc.result.best_ask_amount,rpc.result.best_ask_price,rpc.result.best_bid_amount,rpc.result.best_bid_price,rpc.result.bid_iv,rpc.result.bids,rpc.result.change_id,rpc.result.estimated_delivery_price,rpc.result.greeks.delta,rpc.result.greeks.gamma,rpc.result.greeks.rho,rpc.result.greeks.theta,rpc.result.greeks.vega,rpc.result.index_price,rpc.result.instrument_name,rpc.result.interest_rate,rpc.result.last_price,rpc.result.mark_iv,rpc.result.mark_price,rpc.result.max_price,rpc.result.min_price,rpc.result.open_interest,rpc.result.settlement_price,rpc.result.state,rpc.result.stats.high,rpc.result.stats.low,rpc.result.stats.price_change,rpc.result.stats.volume,rpc.result.stats.volume_usd,rpc.result.timestamp,rpc.result.timestamp_datetime,rpc.result.underlying_index,rpc.result.underlying_price,rpc.testnet,rpc.usDiff,rpc.usIn,rpc.usOut
2025-12-01T05:41:43.887000+00:00,1764567703887,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558142,BTC-1DEC25-85000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,85000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85000-P,P,85000.0,2.0,71.25,"[[0.0015,2.5],[0.0016,4.8],[0.0017,2.9],[0.0018,22.2],[0.0019,20.2],[0.002,31.0],[0.0021,1.0],[0.0025,67.1],[0.0033,13.3],[0.0045,14.8]]",2.5,0.0015,6.0,0.0012,64.89,"[[0.0012,6.0],[0.0011,25.1],[0.001,49.4],[0.0009,0.9],[0.0005,70.1],[0.0002,6.0]]",129836148301,85741.75,-0.21724,0.00031,-0.04922,-119.91497,4.08389,85741.75,BTC-1DEC25-85000-P,0.0,0.0013,69.14,0.0014,0.036,0.0001,82.5,,open,0.0022,0.0013,0.0,82.5,11933.66,1764567704011,2025-12-01T05:41:44.011000+00:00,SYN.BTC-1DEC25,85742.1186,False,538,1764567704066191,1764567704066729
2025-12-01T05:41:43.886000+00:00,1764567703886,BTC,0.0003,25,0.0001,1.0,USD,1764231120000,2025-11-27T08:12:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556875,BTC-1DEC25-84000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,84000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-84000-P,P,84000.0,2.0,89.13,"[[0.0005,30.7],[0.0006,33.0],[0.0007,9.8],[0.0008,10.7],[0.0009,91.1],[0.001,8.0],[0.0011,15.0],[0.0012,8.1],[0.0013,25.0],[0.0014,33.0]]",30.7,0.0005,9.9,0.0003,79.45,"[[0.0003,9.9],[0.0002,20.6],[0.0001,41.7]]",129836133960,85741.75,-0.06309,0.00011,-0.01429,-31.84451,1.72131,85741.75,BTC-1DEC25-84000-P,0.0,0.0004,83.2,0.0004,0.0295,0.0001,117.3,0.0001409,open,0.002,0.0001,300.0,147.5,7158.8,1764567703107,2025-12-01T05:41:43.107000+00:00,SYN.BTC-1DEC25,85742.1186,False,332,1764567704058214,1764567704058546
2025-12-01T05:41:43.885000+00:00,1764567703885,BTC,0.0003,25,0.0001,1.0,USD,1764231120000,2025-11-27T08:12:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556874,BTC-1DEC25-84000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,84000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-84000-C,C,84000.0,2.0,126.4,"[[0.0225,0.1],[0.059,9.8]]",0.1,0.0225,0.1,0.0195,0.0,"[[0.0195,0.1],[0.0021,0.5],[0.002,0.8],[0.001,3.0]]",129836147630,85741.75,0.93691,0.00011,0.20626,-71.61043,1.72131,85741.75,BTC-1DEC25-84000-C,0.0,0.0375,83.2,0.0207,0.0595,0.0001,1.0,0.07708031,open,0.0375,0.0375,0.0,1.0,3266.8,1764567703842,2025-12-01T05:41:43.842000+00:00,SYN.BTC-1DEC25,85742.1186,False,308,1764567704022156,1764567704022464
2025-12-01T05:41:43.886000+00:00,1764567703886,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558141,BTC-1DEC25-85000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,85000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85000-C,C,85000.0,2.0,87.76,"[[0.011,2.6],[0.012,0.1],[0.048,11.7]]",2.6,0.011,4.1,0.009,42.73,"[[0.009,4.1],[0.0001,5.0]]",129836101363,85741.75,0.78276,0.00031,0.17395,-141.17544,4.08389,85741.75,BTC-1DEC25-85000-C,0.0,,69.14,0.0101,0.048,0.0001,0.0,,open,,,,0.0,0.0,1764567703107,2025-12-01T05:41:43.107000+00:00,SYN.BTC-1DEC25,85742.1186,False,296,1764567704066960,1764567704067256
2025-12-01T05:41:43.887000+00:00,1764567703887,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558143,BTC-1DEC25-85500-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,85500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85500-C,C,85500.0,2.0,76.85,"[[0.0065,17.6],[0.007,15.1],[0.0075,52.9],[0.009,15.0],[0.0095,15.4],[0.012,9.8],[0.013,9.3]]",17.6,0.0065,14.7,0.0055,52.72,"[[0.0055,14.7],[0.005,15.4],[0.0049,0.1],[0.0047,4.4],[0.0046,0.6],[0.0041,53.6],[0.0001,5.0]]",129836148574,85741.75,0.60465,0.00041,0.13479,-179.60646,5.35083,85741.75,BTC-1DEC25-85500-C,0.0,0.0075,67.13,0.0059,0.043,0.0001,20.0,,open,0.0075,0.0075,0.0,20.0,12881.97,1764567704062,2025-12-01T05:41:44.062000+00:00,SYN.BTC-1DEC25,85742.1186,False,257,1764567704076002,1764567704076259
2025-12-01T05:41:44.217000+00:00,1764567704217,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556128,BTC-1DEC25-86000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,86000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86000-C,C,86000.0,2.0,67.02,"[[0.003,0.8],[0.0031,3.2],[0.0033,15.0],[0.0034,16.4],[0.0035,24.7],[0.0036,8.0],[0.0037,4.1],[0.0038,0.6],[0.0039,0.1],[0.0042,57.1]]",0.8,0.003,4.1,0.0026,60.58,"[[0.0026,4.1],[0.0025,8.8],[0.0024,25.1],[0.0023,31.4],[0.0021,4.2],[0.002,1.0],[0.0019,0.1],[0.0017,57.2],[0.001,1.0],[0.0003,0.1]]",129836148847,85742.57,0.3877,0.00043,0.08665,-169.76346,5.32156,85742.57,BTC-1DEC25-86000-C,0.0,0.005,63.8,0.0028,0.0375,0.0001,28.8,0.05517381,open,0.0105,0.0047,-52.381,32.6,18593.34,1764567704144,2025-12-01T05:41:44.144000+00:00,SYN.BTC-1DEC25,85742.1186,False,334,1764567704358272,1764567704358606
2025-12-01T05:41:44.217000+00:00,1764567704217,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558144,BTC-1DEC25-85500-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,85500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85500-P,P,85500.0,2.0,69.26,"[[0.0032,1.3],[0.0033,2.6],[0.0034,6.9],[0.0035,35.4],[0.0036,16.5],[0.0037,5.4],[0.0039,0.7],[0.004,57.5],[0.0044,0.1],[0.0049,0.1]]",1.3,0.0032,5.0,0.0027,61.23,"[[0.0027,5.0],[0.0026,2.2],[0.0025,34.3],[0.0024,24.8],[0.0022,4.0],[0.0019,0.1],[0.0017,58.1]]",129836147619,85742.57,-0.39535,0.00041,-0.08969,-179.59763,5.35081,85742.57,BTC-1DEC25-85500-P,0.0,0.0021,67.13,0.0031,0.041,0.0001,42.5,,open,0.0044,0.0021,-25.0,42.7,10961.99,1764567703874,2025-12-01T05:41:43.874000+00:00,SYN.BTC-1DEC25,85742.1186,False,356,1764567704358979,1764567704359335
2025-12-01T05:41:44.218000+00:00,1764567704218,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556129,BTC-1DEC25-86000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,86000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86000-P,P,86000.0,2.0,66.9,"[[0.006,0.2],[0.0065,22.2],[0.007,7.0],[0.0075,52.7],[0.01,0.1],[0.0105,3.0],[0.0145,6.4],[0.015,0.1],[0.0155,6.5],[0.018,15.0]]",0.2,0.006,5.0,0.0055,58.83,"[[0.0055,5.0],[0.005,24.3],[0.0049,2.1],[0.0046,0.6],[0.0044,51.2],[0.0021,3.0],[0.0004,2.7],[0.0003,15.0],[0.0002,15.0],[0.0001,15.2]]",129836147215,85742.57,-0.6123,0.00043,-0.13915,-169.76346,5.32156,85742.57,BTC-1DEC25-86000-P,0.0,0.0055,63.8,0.0058,0.046,0.0001,299.3,0.00021203,open,0.0075,0.0001,2650.0,289.7,84597.24,1764567703874,2025-12-01T05:41:43.874000+00:00,SYN.BTC-1DEC25,85742.1186,False,386,1764567704354866,1764567704355252
2025-12-01T05:41:44.218000+00:00,1764567704218,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558146,BTC-1DEC25-86500-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,86500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86500-P,P,86500.0,2.0,93.87,"[[0.0115,39.7],[0.0255,5.0],[0.026,6.0]]",39.7,0.0115,1.5,0.009,36.08,"[[0.009,1.5],[0.0085,34.9],[0.007,11.5],[0.0065,11.1],[0.0001,5.0]]",129836135957,85742.57,-0.7941,0.00031,-0.18103,-129.96438,3.95777,85742.57,BTC-1DEC25-86500-P,0.0,0.007,65.68,0.0101,0.052,0.0001,23.0,,open,0.007,0.006,0.0,23.0,13641.11,1764567704108,2025-12-01T05:41:44.108000+00:00,SYN.BTC-1DEC25,85742.9385,False,299,1764567704361033,1764567704361332
2025-12-01T05:41:44.218000+00:00,1764567704218,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558145,BTC-1DEC25-86500-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,86500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86500-C,C,86500.0,2.0,67.25,"[[0.0013,1.2],[0.0014,3.9],[0.0015,5.4],[0.0016,44.0],[0.0017,31.1],[0.0019,0.1],[0.0021,68.5],[0.0023,0.1],[0.0024,0.1],[0.0029,11.9]]",1.2,0.0013,2.2,0.001,60.62,"[[0.001,2.2],[0.0009,29.9],[0.0008,30.3],[0.0007,0.6],[0.0006,15.7],[0.0005,1.4],[0.0004,1.4],[0.0003,70.2]]",129836148679,85742.57,0.2059,0.00031,0.04608,-105.19804,3.95777,85742.57,BTC-1DEC25-86500-C,0.0,0.0019,65.68,0.0012,0.033,0.0001,8.3,,open,0.0049,0.0019,-61.2245,8.8,2835.96,1764567704108,2025-12-01T05:41:44.108000+00:00,SYN.BTC-1DEC25,85742.9385,False,285,1764567704359347,1764567704359632
