ask_price,base_currency,bid_price,creation_timestamp,currency,estimated_delivery_price,fetch_ts_ms,high,instrument_name,interest_rate,kind_filter,last,low,mark_iv,mark_price,mid_price,open_interest,price_change,quote_currency,underlying_index,underlying_price,volume,volume_usd
0.0004,BTC,0.0001,1764568637557,BTC,85953.58,1764568639569,0.0002,BTC-27MAR26-300000-C,0.0,option,0.0002,0.0002,71.12,0.00021037,0.00025,245.1,0.0,BTC,BTC-27MAR26,87237.06,0.2,3.48
0.0245,BTC,0.023,1764568637557,BTC,85953.58,1764568639569,0.0235,BTC-3DEC25-87000-P,0.0,option,0.0235,0.0022,56.36,0.02382295,0.02375,20.9,658.0645,BTC,SYN.BTC-3DEC25,85959.86966157668,23.8,41929.82
0.0009,BTC,0.0007,1764568637557,BTC,85953.58,1764568639569,0.0011,BTC-27MAR26-220000-C,0.0,option,0.0011,0.0011,62.66,0.00076662,0.0008,215.2,0.0,BTC,BTC-27MAR26,87234.73,1.0,100.89
0.468,BTC,0.4515,1764568637557,BTC,85953.58,1764568639569,,BTC-25SEP26-125000-P,0.0,option,0.385,,48.4,0.45860737,0.45975,15.5,,BTC,BTC-25SEP26,89754.7,0.0,0.0
0.032,BTC,0.0315,1764568637557,BTC,85953.58,1764568639569,0.0625,BTC-26DEC25-90000-C,0.0,option,0.0315,0.0305,47.6,0.03157669,0.03175,2293.5,-43.75,BTC,BTC-26DEC25,86142.58,149.9,456472.05
0.2245,BTC,0.221,1764568637557,BTC,85953.58,1764568639569,0.2155,BTC-26DEC25-105000-P,0.0,option,0.2155,0.1505,48.73,0.22256662,0.22275,3698.7,43.1894,BTC,BTC-26DEC25,86144.86,276.2,4928314.18
0.0745,BTC,0.072,1764568637557,BTC,85953.58,1764568639569,,BTC-4DEC25-80000-C,0.0,option,,,69.47,0.07338458,0.07325,0.0,,BTC,SYN.BTC-4DEC25,85963.02983078833,0.0,0.0
0.27,BTC,0.2675,1764568637557,BTC,85953.58,1764568639569,,BTC-26JUN26-70000-C,0.0,option,0.25,,52.68,0.26861072,0.26875,21.5,,BTC,BTC-26JUN26,88465.39,0.0,0.0
0.0007,BTC,0.0004,1764568637557,BTC,85953.58,1764568639569,0.0012,BTC-26DEC25-128000-C,0.0,option,0.0006,0.0006,63.58,0.00059253,0.00055,685.7,-50.0,BTC,BTC-26DEC25,86142.58,2.0,161.3
0.052,BTC,0.051,1764568637557,BTC,85953.58,1764568639569,0.0755,BTC-27FEB26-96000-C,0.0,option,0.0515,0.0515,46.46,0.05204648,0.0515,67.1,-31.7881,BTC,SYN.BTC-27FEB26,86869.6,1.4,7176.38
