currency,resolution,timestamp_ms,timestamp_iso_utc,open_iv,high_iv,low_iv,close_iv
BTC,1D,1616544000000,2021-03-24T00:00:00+00:00,84.68,88.04,45.01,86.7
BTC,1D,1616630400000,2021-03-25T00:00:00+00:00,86.71,132.13,41.5,84.01
BTC,1D,1616716800000,2021-03-26T00:00:00+00:00,81.9,89.42,68.29,69.37
BTC,1D,1616803200000,2021-03-27T00:00:00+00:00,69.37,73.56,63.57,68.15
BTC,1D,1616889600000,2021-03-28T00:00:00+00:00,68.15,75.25,67.6,72.16
BTC,1D,1616976000000,2021-03-29T00:00:00+00:00,72.16,80.24,57.04,74.47
BTC,1D,1617062400000,2021-03-30T00:00:00+00:00,74.47,85.97,61.51,77.75
BTC,1D,1617148800000,2021-03-31T00:00:00+00:00,77.75,90.36,72.39,80.47
BTC,1D,1617235200000,2021-04-01T00:00:00+00:00,80.47,84.43,56.79,77.85
BTC,1D,1617321600000,2021-04-02T00:00:00+00:00,72.91,131.51,57.29,79.55
BTC,1D,1617408000000,2021-04-03T00:00:00+00:00,79.55,80.56,67.18,78.8
BTC,1D,1617494400000,2021-04-04T00:00:00+00:00,78.8,97.74,77.0,94.46
BTC,1D,1617580800000,2021-04-05T00:00:00+00:00,94.46,96.93,77.88,88.35
BTC,1D,1617667200000,2021-04-06T00:00:00+00:00,88.35,150.23,67.3,85.87
BTC,1D,1617753600000,2021-04-07T00:00:00+00:00,85.87,105.27,82.55,90.56
BTC,1D,1617840000000,2021-04-08T00:00:00+00:00,90.56,105.44,71.22,88.58
BTC,1D,1617926400000,2021-04-09T00:00:00+00:00,88.58,95.68,70.13,90.25
BTC,1D,1618012800000,2021-04-10T00:00:00+00:00,90.25,100.18,89.51,92.26
BTC,1D,1618099200000,2021-04-11T00:00:00+00:00,92.26,101.77,90.21,96.23
BTC,1D,1618185600000,2021-04-12T00:00:00+00:00,96.2,110.24,88.58,92.58
BTC,1D,1618272000000,2021-04-13T00:00:00+00:00,94.76,124.87,81.63,95.09
BTC,1D,1618358400000,2021-04-14T00:00:00+00:00,95.09,131.59,93.19,109.69
BTC,1D,1618444800000,2021-04-15T00:00:00+00:00,109.69,122.93,101.15,107.2
BTC,1D,1618531200000,2021-04-16T00:00:00+00:00,107.2,111.98,106.87,110.92
BTC,1D,1618617600000,2021-04-17T00:00:00+00:00,110.92,113.52,108.92,109.48
BTC,1D,1618704000000,2021-04-18T00:00:00+00:00,109.48,117.13,109.41,111.87
