currency,resolution,timestamp_ms,timestamp_iso_utc,open_iv,high_iv,low_iv,close_iv
ETH,1D,1616544000000,2021-03-24T00:00:00+00:00,66.72,70.06,66.6,69.07
ETH,1D,1616630400000,2021-03-25T00:00:00+00:00,69.07,70.84,65.35,70.42
ETH,1D,1616716800000,2021-03-26T00:00:00+00:00,70.91,71.04,70.0,70.96
ETH,1D,1616803200000,2021-03-27T00:00:00+00:00,70.96,71.09,70.01,70.95
ETH,1D,1616889600000,2021-03-28T00:00:00+00:00,70.95,70.96,68.54,69.19
ETH,1D,1616976000000,2021-03-29T00:00:00+00:00,69.19,69.22,65.07,65.56
ETH,1D,1617062400000,2021-03-30T00:00:00+00:00,65.56,68.89,63.77,64.27
ETH,1D,1617148800000,2021-03-31T00:00:00+00:00,64.27,75.75,63.02,75.51
ETH,1D,1617235200000,2021-04-01T00:00:00+00:00,75.51,77.52,63.95,63.95
ETH,1D,1617321600000,2021-04-02T00:00:00+00:00,64.0,72.54,57.37,57.49
ETH,1D,1617408000000,2021-04-03T00:00:00+00:00,57.49,61.23,57.11,60.97
ETH,1D,1617494400000,2021-04-04T00:00:00+00:00,60.97,61.69,56.84,56.89
ETH,1D,1617580800000,2021-04-05T00:00:00+00:00,56.89,59.64,53.46,53.81
ETH,1D,1617667200000,2021-04-06T00:00:00+00:00,53.81,55.67,51.49,51.52
ETH,1D,1617753600000,2021-04-07T00:00:00+00:00,51.52,60.46,51.39,58.32
ETH,1D,1617840000000,2021-04-08T00:00:00+00:00,58.33,65.49,54.73,61.05
ETH,1D,1617926400000,2021-04-09T00:00:00+00:00,61.05,61.05,59.35,59.79
ETH,1D,1618012800000,2021-04-10T00:00:00+00:00,59.79,59.89,54.03,54.58
ETH,1D,1618099200000,2021-04-11T00:00:00+00:00,54.58,55.32,51.29,52.31
ETH,1D,1618185600000,2021-04-12T00:00:00+00:00,52.31,53.45,49.76,51.03
ETH,1D,1618272000000,2021-04-13T00:00:00+00:00,49.44,50.53,47.28,48.05
ETH,1D,1618358400000,2021-04-14T00:00:00+00:00,48.05,53.28,45.48,45.48
ETH,1D,1618444800000,2021-04-15T00:00:00+00:00,45.48,58.71,40.04,56.45
ETH,1D,1618531200000,2021-04-16T00:00:00+00:00,56.45,57.17,53.86,54.54
ETH,1D,1618617600000,2021-04-17T00:00:00+00:00,54.54,55.18,51.2,53.34
ETH,1D,1618704000000,2021-04-18T00:00:00+00:00,53.34,62.91,50.32,50.34
ETH,1D,1618790400000,2021-04-19T00:00:00+00:00,50.34,55.78,48.33,49.69
ETH,1D,1618876800000,2021-04-20T00:00:00+00:00,49.69,57.89,46.0,46.07
ETH,1D,1618963200000,2021-04-21T00:00:00+00:00,46.07,46.6,44.0,44.61
ETH,1D,1619049600000,2021-04-22T00:00:00+00:00,56.56,56.79,54.77,54.86
ETH,1D,1619136000000,2021-04-23T00:00:00+00:00,54.12,54.53,53.22,53.25
ETH,1D,1619222400000,2021-04-24T00:00:00+00:00,53.25,54.39,50.98,51.67
ETH,1D,1619308800000,2021-04-25T00:00:00+00:00,51.67,52.95,48.89,49.31
ETH,1D,1619395200000,2021-04-26T00:00:00+00:00,47.99,48.29,46.37,47.27
ETH,1D,1619481600000,2021-04-27T00:00:00+00:00,46.31,46.31,44.79,45.14
ETH,1D,1619568000000,2021-04-28T00:00:00+00:00,45.14,45.15,42.81,42.88
ETH,1D,1619654400000,2021-04-29T00:00:00+00:00,55.14,55.48,53.78,53.8
ETH,1D,1619740800000,2021-04-30T00:00:00+00:00,53.8,53.83,51.78,51.84
ETH,1D,1619827200000,2021-05-01T00:00:00+00:00,51.84,51.85,49.27,49.28
ETH,1D,1619913600000,2021-05-02T00:00:00+00:00,49.28,50.86,47.06,47.26
ETH,1D,1620000000000,2021-05-03T00:00:00+00:00,47.26,47.32,44.39,45.25
ETH,1D,1620086400000,2021-05-04T00:00:00+00:00,45.25,45.26,42.35,42.63
ETH,1D,1620172800000,2021-05-05T00:00:00+00:00,42.63,42.89,40.14,40.47
ETH,1D,1620259200000,2021-05-06T00:00:00+00:00,53.05,53.1,51.53,52.05
ETH,1D,1620345600000,2021-05-07T00:00:00+00:00,52.05,52.19,49.15,49.32
ETH,1D,1620432000000,2021-05-08T00:00:00+00:00,49.32,49.76,46.54,46.69
ETH,1D,1620518400000,2021-05-09T00:00:00+00:00,46.69,47.0,44.05,44.05
ETH,1D,1620604800000,2021-05-10T00:00:00+00:00,43.12,47.87,42.57,46.8
ETH,1D,1620691200000,2021-05-11T00:00:00+00:00,46.8,47.12,40.1,40.1
ETH,1D,1620777600000,2021-05-12T00:00:00+00:00,42.46,42.88,40.25,42.88
ETH,1D,1620864000000,2021-05-13T00:00:00+00:00,42.88,49.78,41.59,46.13
ETH,1D,1620950400000,2021-05-14T00:00:00+00:00,46.13,51.91,44.91,44.91
ETH,1D,1621036800000,2021-05-15T00:00:00+00:00,44.91,45.36,41.49,42.17
ETH,1D,1621123200000,2021-05-16T00:00:00+00:00,42.17,42.17,40.14,40.15
ETH,1D,1621209600000,2021-05-17T00:00:00+00:00,40.15,49.14,40.15,40.72
ETH,1D,1621296000000,2021-05-18T00:00:00+00:00,40.72,40.95,40.14,40.38
ETH,1D,1621382400000,2021-05-19T00:00:00+00:00,40.38,44.04,40.38,44.04
