timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-08 16:30:38.619177+00:00,1.25e-05,-1e-06
2025-11-08 16:31:38.619431+00:00,1.25e-05,-1e-06
2025-11-08 16:32:38.619665+00:00,1.25e-05,-1e-06
2025-11-08 16:33:38.619942+00:00,1.25e-05,-1e-06
2025-11-08 16:34:38.620193+00:00,1.25e-05,-1e-06
2025-11-08 16:35:38.620400+00:00,1.25e-05,-1e-06
2025-11-08 16:36:38.620617+00:00,1.25e-05,-1e-06
2025-11-08 16:37:38.620902+00:00,1.25e-05,-1e-06
2025-11-08 16:38:38.621093+00:00,1.25e-05,-1e-06
2025-11-08 16:39:38.621342+00:00,1.25e-05,-1e-06
2025-11-08 16:40:38.621577+00:00,1.25e-05,-1e-06
2025-11-08 16:41:38.621750+00:00,1.25e-05,-1e-06
2025-11-08 16:42:38.622014+00:00,1.25e-05,-1e-06
2025-11-08 16:43:38.622260+00:00,1.25e-05,-1e-06
2025-11-08 16:44:38.622528+00:00,1.25e-05,-1e-06
2025-11-08 16:45:38.622777+00:00,1.25e-05,-1e-06
2025-11-08 16:46:38.623032+00:00,1.25e-05,-1e-06
2025-11-08 16:47:38.623276+00:00,1.25e-05,-1e-06
2025-11-08 16:48:38.623525+00:00,1.25e-05,-1e-06
2025-11-08 16:49:38.623768+00:00,1.25e-05,-1e-06
2025-11-08 16:50:38.624041+00:00,1.25e-05,-1e-06
2025-11-08 16:51:38.624316+00:00,1.25e-05,-1e-06
2025-11-08 16:52:38.624578+00:00,1.25e-05,-1e-06
2025-11-08 16:53:38.624806+00:00,1.25e-05,1e-06
2025-11-08 16:54:38.625027+00:00,1.25e-05,1e-06
2025-11-08 16:55:38.625250+00:00,1.25e-05,1e-06
2025-11-08 16:56:38.625469+00:00,1.25e-05,1e-06
2025-11-08 16:57:38.625749+00:00,1.25e-05,1e-06
2025-11-08 16:58:38.626001+00:00,1.25e-05,1e-06
2025-11-08 16:59:38.626264+00:00,1.25e-05,1e-06
2025-11-08 17:00:38.626498+00:00,1.25e-05,1e-06
2025-11-08 17:01:38.626736+00:00,1.25e-05,1e-06
2025-11-08 17:02:38.627011+00:00,1.25e-05,1e-06
2025-11-08 17:03:38.627246+00:00,1.25e-05,1e-06
2025-11-08 17:04:38.627484+00:00,1.25e-05,1e-06
2025-11-08 17:05:38.627708+00:00,1.25e-05,1e-06
2025-11-08 17:06:38.627950+00:00,1.25e-05,1e-06
2025-11-08 17:07:38.628173+00:00,1.25e-05,1e-06
2025-11-08 17:08:38.628390+00:00,1.25e-05,1e-06
2025-11-08 17:09:38.628625+00:00,1.25e-05,1e-06
2025-11-08 17:10:38.628852+00:00,1.25e-05,1e-06
2025-11-08 17:11:38.629098+00:00,1.25e-05,1e-06
2025-11-08 17:12:38.629330+00:00,1.25e-05,1e-06
2025-11-08 17:13:38.629618+00:00,1.25e-05,1e-06
2025-11-08 17:14:38.629840+00:00,1.25e-05,1e-06
2025-11-08 17:15:38.630101+00:00,1.25e-05,1e-06
2025-11-08 17:16:38.630320+00:00,1.25e-05,1e-06
2025-11-08 17:17:38.630603+00:00,1.25e-05,1e-06
2025-11-08 17:18:38.630897+00:00,1.25e-05,1e-06
2025-11-08 17:19:38.631125+00:00,1.25e-05,1e-06
2025-11-08 17:20:38.631378+00:00,1.25e-05,1e-06
2025-11-08 17:21:38.631670+00:00,1.25e-05,1e-06
2025-11-08 17:22:38.631942+00:00,1.25e-05,1e-06
2025-11-08 17:23:38.632189+00:00,1.25e-05,1e-06
2025-11-08 17:24:38.632457+00:00,1.25e-05,1e-06
2025-11-08 17:25:38.632727+00:00,1.25e-05,1e-06
2025-11-08 17:26:38.632991+00:00,1.25e-05,1e-06
2025-11-08 17:27:38.633164+00:00,1.25e-05,1e-06
2025-11-08 17:28:38.633390+00:00,1.25e-05,1e-06
2025-11-08 17:29:38.633652+00:00,1.25e-05,1e-06
2025-11-08 17:30:38.633942+00:00,1.25e-05,1e-06
2025-11-08 17:31:38.634196+00:00,1.25e-05,1e-06
2025-11-08 17:32:38.634422+00:00,1.25e-05,1e-06
2025-11-08 17:33:38.634696+00:00,1.25e-05,1e-06
2025-11-08 17:34:38.634967+00:00,1.25e-05,1e-06
2025-11-08 17:35:38.635279+00:00,1.25e-05,1e-06
2025-11-08 17:36:38.635486+00:00,1.25e-05,1e-06
2025-11-08 17:37:38.635715+00:00,1.25e-05,1e-06
2025-11-08 17:38:38.635944+00:00,1.25e-05,1e-06
2025-11-08 17:39:38.636172+00:00,1.25e-05,1e-06
2025-11-08 17:40:38.636401+00:00,1.25e-05,1e-06
2025-11-08 17:41:38.636643+00:00,1.25e-05,1e-06
2025-11-08 17:42:38.636957+00:00,1.25e-05,1e-06
2025-11-08 17:43:38.637203+00:00,1.25e-05,1e-06
2025-11-08 17:44:38.637447+00:00,1.25e-05,1e-06
2025-11-08 17:45:38.637673+00:00,1.25e-05,1e-06
2025-11-08 17:46:38.637927+00:00,1.25e-05,1e-06
2025-11-08 17:47:38.638167+00:00,1.25e-05,1e-06
2025-11-08 17:48:38.638416+00:00,1.25e-05,1e-06
2025-11-08 17:49:38.638643+00:00,1.25e-05,1e-06
2025-11-08 17:50:38.638914+00:00,1.25e-05,1e-06
2025-11-08 17:51:38.639173+00:00,1.25e-05,1e-06
2025-11-08 17:52:38.639357+00:00,1.25e-05,1e-06
2025-11-08 17:53:38.639602+00:00,1.25e-05,-2e-06
2025-11-08 17:54:38.639843+00:00,1.25e-05,-2e-06
2025-11-08 17:55:38.640085+00:00,1.25e-05,-2e-06
2025-11-08 17:56:38.640316+00:00,1.25e-05,-2e-06
2025-11-08 17:57:38.640546+00:00,1.25e-05,-2e-06
2025-11-08 17:58:38.640777+00:00,1.25e-05,-2e-06
2025-11-08 17:59:38.641031+00:00,1.25e-05,-2e-06
2025-11-08 18:00:38.641263+00:00,1.25e-05,-2e-06
2025-11-08 18:01:38.641478+00:00,1.25e-05,-2e-06
2025-11-08 18:02:38.641696+00:00,1.25e-05,-2e-06
2025-11-08 18:03:38.641957+00:00,1.25e-05,-2e-06
2025-11-08 18:04:38.642207+00:00,1.25e-05,-2e-06
2025-11-08 18:05:38.642440+00:00,1.25e-05,-2e-06
2025-11-08 18:06:38.642660+00:00,1.25e-05,-2e-06
