timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-21 07:30:06.626560,1.25e-05,1.2e-05
2025-11-21 07:31:06.626845,1.25e-05,1.2e-05
2025-11-21 07:32:06.627063,1.25e-05,1.2e-05
2025-11-21 07:33:06.627368,1.25e-05,1.2e-05
2025-11-21 07:34:06.627590,1.25e-05,1.2e-05
2025-11-21 07:35:06.627819,1.25e-05,1.2e-05
2025-11-21 07:36:06.628130,1.25e-05,1.2e-05
2025-11-21 07:37:06.628393,1.25e-05,1.2e-05
2025-11-21 07:38:06.628655,1.25e-05,1.2e-05
2025-11-21 07:39:06.628914,1.25e-05,1.2e-05
2025-11-21 07:40:06.629166,1.25e-05,1.2e-05
2025-11-21 07:41:06.629412,1.25e-05,1.2e-05
2025-11-21 07:42:06.629632,1.25e-05,1.2e-05
2025-11-21 07:43:06.629885,1.25e-05,1.2e-05
2025-11-21 07:44:06.630176,1.25e-05,1.2e-05
2025-11-21 07:45:06.630425,1.25e-05,1.2e-05
2025-11-21 07:46:06.630664,1.25e-05,1.2e-05
2025-11-21 07:47:06.630905,1.25e-05,1.2e-05
2025-11-21 07:48:06.631180,1.25e-05,1.2e-05
2025-11-21 07:49:06.631434,1.25e-05,1.2e-05
2025-11-21 07:50:06.631675,1.25e-05,1.2e-05
2025-11-21 07:51:06.631926,1.25e-05,1.2e-05
2025-11-21 07:52:06.632478,1.25e-05,1.2e-05
2025-11-21 07:53:06.632694,1.25e-05,1.2e-05
2025-11-21 07:54:06.632943,1.25e-05,1.2e-05
2025-11-21 07:55:06.633125,1.25e-05,1.2e-05
2025-11-21 07:56:06.633386,1.25e-05,1.2e-05
2025-11-21 07:57:06.633609,1.25e-05,1.2e-05
2025-11-21 07:58:06.633845,1.25e-05,1.2e-05
2025-11-21 07:59:06.634078,1.25e-05,1.2e-05
2025-11-21 08:00:06.634349,1.25e-05,1.2e-05
2025-11-21 08:01:06.634612,1.25e-05,1.2e-05
2025-11-21 08:02:06.634857,1.25e-05,1.2e-05
2025-11-21 08:03:06.635054,1.25e-05,1.2e-05
2025-11-21 08:04:06.635281,1.25e-05,1.2e-05
2025-11-21 08:05:06.635522,1.25e-05,1.2e-05
2025-11-21 08:06:06.635750,1.25e-05,1.2e-05
2025-11-21 08:07:06.635984,1.25e-05,1.2e-05
2025-11-21 08:08:06.636249,1.25e-05,1.2e-05
2025-11-21 08:09:06.636481,1.25e-05,1.2e-05
2025-11-21 08:10:06.636704,1.25e-05,1.2e-05
2025-11-21 08:11:06.636882,1.25e-05,1.2e-05
2025-11-21 08:12:06.637107,1.25e-05,1.2e-05
2025-11-21 08:13:06.637392,1.25e-05,1.2e-05
2025-11-21 08:14:06.637570,1.25e-05,1.2e-05
2025-11-21 08:15:06.637814,1.25e-05,1.2e-05
2025-11-21 08:16:06.638045,1.25e-05,1.2e-05
2025-11-21 08:17:06.638281,1.25e-05,1.2e-05
2025-11-21 08:18:06.638565,1.25e-05,1.2e-05
2025-11-21 08:19:06.638786,1.25e-05,1.2e-05
2025-11-21 08:20:06.639032,1.25e-05,1.2e-05
2025-11-21 08:21:06.639285,1.25e-05,1.2e-05
2025-11-21 08:22:06.639508,1.25e-05,1.2e-05
2025-11-21 08:23:06.639770,1.25e-05,1.2e-05
