timestamp,hyperliquid_funding_rate,lighter_funding_rate
2025-11-21 07:30:06.589130,1.25e-05,1.2e-05
2025-11-21 07:31:06.589415,1.25e-05,1.2e-05
2025-11-21 07:32:06.589676,1.25e-05,1.2e-05
2025-11-21 07:33:06.589927,1.25e-05,1.2e-05
2025-11-21 07:34:06.590174,1.25e-05,1.2e-05
2025-11-21 07:35:06.590391,1.25e-05,1.2e-05
2025-11-21 07:36:06.590632,1.25e-05,1.2e-05
2025-11-21 07:37:06.590881,1.25e-05,1.2e-05
2025-11-21 07:38:06.591131,1.25e-05,1.2e-05
2025-11-21 07:39:06.591373,1.25e-05,1.2e-05
2025-11-21 07:40:06.591603,1.25e-05,1.2e-05
2025-11-21 07:41:06.591817,1.25e-05,1.2e-05
2025-11-21 07:42:06.592051,1.25e-05,1.2e-05
2025-11-21 07:43:06.592280,1.25e-05,1.2e-05
2025-11-21 07:44:06.592550,1.25e-05,1.2e-05
2025-11-21 07:45:06.592795,1.25e-05,1.2e-05
2025-11-21 07:46:06.593024,1.25e-05,1.2e-05
2025-11-21 07:47:06.593280,1.25e-05,1.2e-05
2025-11-21 07:48:06.593521,1.25e-05,1.2e-05
2025-11-21 07:49:06.593774,1.25e-05,1.2e-05
2025-11-21 07:50:06.594018,1.25e-05,1.2e-05
2025-11-21 07:51:06.594334,1.25e-05,1.2e-05
2025-11-21 07:52:06.594555,1.25e-05,1.2e-05
2025-11-21 07:53:06.594812,1.25e-05,1.2e-05
2025-11-21 07:54:06.595055,1.25e-05,1.2e-05
2025-11-21 07:55:06.595372,1.25e-05,1.2e-05
2025-11-21 07:56:06.595598,1.25e-05,1.2e-05
2025-11-21 07:57:06.595827,1.25e-05,1.2e-05
2025-11-21 07:58:06.596061,1.25e-05,1.2e-05
2025-11-21 07:59:06.596289,1.25e-05,1.2e-05
2025-11-21 08:00:06.596514,1.25e-05,1.2e-05
2025-11-21 08:01:06.596779,1.25e-05,1.2e-05
2025-11-21 08:02:06.597065,1.25e-05,1.2e-05
2025-11-21 08:03:06.597335,1.25e-05,1.2e-05
2025-11-21 08:04:06.597579,1.25e-05,1.2e-05
2025-11-21 08:05:06.597820,1.25e-05,1.2e-05
2025-11-21 08:06:06.598057,1.25e-05,1.2e-05
2025-11-21 08:07:06.598317,1.25e-05,1.2e-05
2025-11-21 08:08:06.598547,1.25e-05,1.2e-05
2025-11-21 08:09:06.598780,1.25e-05,1.2e-05
2025-11-21 08:10:06.599012,1.25e-05,1.2e-05
2025-11-21 08:11:06.599281,1.25e-05,1.2e-05
2025-11-21 08:12:06.599550,1.25e-05,1.2e-05
2025-11-21 08:13:06.599788,1.25e-05,1.2e-05
2025-11-21 08:14:06.600075,1.25e-05,1.2e-05
2025-11-21 08:15:06.600326,1.25e-05,1.2e-05
2025-11-21 08:16:06.600561,1.25e-05,1.2e-05
2025-11-21 08:17:06.600776,1.25e-05,1.2e-05
2025-11-21 08:18:06.601019,1.25e-05,1.2e-05
2025-11-21 08:19:06.601277,1.25e-05,1.2e-05
2025-11-21 08:20:06.601516,1.25e-05,1.2e-05
2025-11-21 08:21:06.601761,1.25e-05,1.2e-05
2025-11-21 08:22:06.602007,1.25e-05,1.2e-05
2025-11-21 08:23:06.602263,1.25e-05,1.2e-05
2025-11-21 08:24:06.602485,1.25e-05,1.2e-05
2025-11-21 08:25:06.602706,1.25e-05,1.2e-05
2025-11-21 08:26:06.602934,1.25e-05,1.2e-05
2025-11-21 08:27:06.603170,1.25e-05,1.2e-05
2025-11-21 08:28:06.603402,1.25e-05,1.2e-05
2025-11-21 08:29:06.603649,1.25e-05,1.2e-05
2025-11-21 08:30:06.603883,1.25e-05,1.2e-05
2025-11-21 08:31:06.604114,1.25e-05,1.2e-05
2025-11-21 08:32:06.604381,1.25e-05,1.2e-05
2025-11-21 08:33:06.604608,1.25e-05,1.2e-05
2025-11-21 08:34:06.604851,1.25e-05,1.2e-05
2025-11-21 08:35:06.605086,1.25e-05,1.2e-05
2025-11-21 08:36:06.605353,1.25e-05,1.2e-05
2025-11-21 08:37:06.605565,1.25e-05,1.2e-05
2025-11-21 08:38:06.605849,1.25e-05,1.2e-05
2025-11-21 08:39:06.606082,1.25e-05,1.2e-05
2025-11-21 08:40:06.606357,1.25e-05,1.2e-05
2025-11-21 08:41:06.606628,1.25e-05,1.2e-05
2025-11-21 08:42:06.606855,1.25e-05,1.2e-05
2025-11-21 08:43:06.607096,1.25e-05,1.2e-05
2025-11-21 08:44:06.607355,1.25e-05,1.2e-05
2025-11-21 08:45:06.607593,1.25e-05,1.2e-05
2025-11-21 08:46:06.607831,1.25e-05,1.2e-05
2025-11-21 08:47:06.608078,1.25e-05,1.2e-05
2025-11-21 08:48:06.608362,1.25e-05,1.2e-05
2025-11-21 08:49:06.608587,1.25e-05,1.2e-05
2025-11-21 08:50:06.608765,1.25e-05,1.2e-05
2025-11-21 08:51:06.609011,1.25e-05,1.2e-05
2025-11-21 08:52:06.609238,1.25e-05,1.2e-05
2025-11-21 08:53:06.609468,1.25e-05,1.2e-05
2025-11-21 08:54:06.609707,1.25e-05,1.2e-05
2025-11-21 08:55:06.609947,1.25e-05,1.2e-05
2025-11-21 08:56:06.610267,1.25e-05,1.2e-05
2025-11-21 08:57:06.610464,1.25e-05,1.2e-05
2025-11-21 08:58:06.610700,1.25e-05,1.2e-05
2025-11-21 08:59:06.610955,1.25e-05,1.2e-05
2025-11-21 09:00:06.611205,1.25e-05,1.2e-05
2025-11-21 09:01:06.611483,1.25e-05,1.2e-05
2025-11-21 09:02:06.611666,1.25e-05,1.2e-05
2025-11-21 09:03:06.611835,1.25e-05,1.2e-05
2025-11-21 09:04:06.612069,1.25e-05,1.2e-05
2025-11-21 09:05:06.612349,1.25e-05,1.2e-05
