fetch_ts_datetime,fetch_ts_ms,meta.instrument.base_currency,meta.instrument.block_trade_commission,meta.instrument.block_trade_min_trade_amount,meta.instrument.block_trade_tick_size,meta.instrument.contract_size,meta.instrument.counter_currency,meta.instrument.creation_timestamp,meta.instrument.creation_timestamp_datetime,meta.instrument.expiration_timestamp,meta.instrument.expiration_timestamp_datetime,meta.instrument.instrument_id,meta.instrument.instrument_name,meta.instrument.instrument_type,meta.instrument.is_active,meta.instrument.kind,meta.instrument.maker_commission,meta.instrument.min_trade_amount,meta.instrument.option_type,meta.instrument.price_index,meta.instrument.quote_currency,meta.instrument.settlement_currency,meta.instrument.settlement_period,meta.instrument.strike,meta.instrument.taker_commission,meta.instrument.tick_size,meta.instrument.tick_size_steps,parsed.base_currency,parsed.expiry_code,parsed.instrument_name,parsed.option_type,parsed.strike,rpc.jsonrpc,rpc.result.ask_iv,rpc.result.asks,rpc.result.best_ask_amount,rpc.result.best_ask_price,rpc.result.best_bid_amount,rpc.result.best_bid_price,rpc.result.bid_iv,rpc.result.bids,rpc.result.change_id,rpc.result.estimated_delivery_price,rpc.result.greeks.delta,rpc.result.greeks.gamma,rpc.result.greeks.rho,rpc.result.greeks.theta,rpc.result.greeks.vega,rpc.result.index_price,rpc.result.instrument_name,rpc.result.interest_rate,rpc.result.last_price,rpc.result.mark_iv,rpc.result.mark_price,rpc.result.max_price,rpc.result.min_price,rpc.result.open_interest,rpc.result.settlement_price,rpc.result.state,rpc.result.stats.high,rpc.result.stats.low,rpc.result.stats.price_change,rpc.result.stats.volume,rpc.result.stats.volume_usd,rpc.result.timestamp,rpc.result.timestamp_datetime,rpc.result.underlying_index,rpc.result.underlying_price,rpc.testnet,rpc.usDiff,rpc.usIn,rpc.usOut
2025-12-01T05:55:45.232000+00:00,1764568545232,BTC,0.0003,25,0.0001,1.0,USD,1764231120000,2025-11-27T08:12:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556874,BTC-1DEC25-84000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,84000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-84000-C,C,84000.0,2.0,128.66,"[[0.024,0.1],[0.0615,9.5]]",0.1,0.024,0.1,0.0215,0.0,"[[0.0215,0.1],[0.0021,0.5],[0.002,0.8],[0.001,3.0]]",129837610719,85962.47,0.96345,7e-05,0.19072,-44.50594,1.05708,85962.47,BTC-1DEC25-84000-C,0.0,0.0375,84.21,0.023,0.0615,0.0001,1.0,0.07708031,open,0.0375,0.0375,0.0,1.0,3266.8,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,308,1764568545385126,1764568545385434
2025-12-01T05:55:45.233000+00:00,1764568545233,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558141,BTC-1DEC25-85000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,85000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85000-C,C,85000.0,2.0,94.31,"[[0.013,1.8],[0.05,10.7]]",1.8,0.013,4.1,0.0105,0.0,"[[0.0105,4.1],[0.0001,5.0]]",129837610023,85962.47,0.87309,0.00024,0.17467,-88.63908,2.74697,85962.47,BTC-1DEC25-85000-C,0.0,,64.54,0.0118,0.05,0.0001,0.0,,open,,,,0.0,0.0,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,254,1764568545421336,1764568545421590
2025-12-01T05:55:45.233000+00:00,1764568545233,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558143,BTC-1DEC25-85500-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,85500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85500-C,C,85500.0,2.0,79.2,"[[0.008,2.6],[0.0085,44.4],[0.01,15.0],[0.0105,15.0],[0.016,11.3],[0.0165,10.4]]",2.6,0.008,0.1,0.006,39.46,"[[0.006,0.1],[0.0055,47.9],[0.0001,5.0]]",129837602226,85962.47,0.71766,0.00042,0.14412,-137.25696,4.46252,85962.47,BTC-1DEC25-85500-C,0.0,0.0075,61.52,0.007,0.0445,0.0001,20.0,,open,0.0075,0.0075,0.0,20.0,12881.97,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,274,1764568545423283,1764568545423557
2025-12-01T05:55:45.233000+00:00,1764568545233,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558142,BTC-1DEC25-85000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,85000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85000-P,P,85000.0,2.0,66.7,"[[0.0007,4.2],[0.0008,6.7],[0.0009,4.7],[0.001,21.5],[0.0011,23.2],[0.0012,27.6],[0.0013,1.8],[0.0014,77.3],[0.0015,0.1],[0.0016,0.9],[0.0017,9.6],[0.0018,1.6],[0.0019,0.9],[0.0028,14.2],[0.0031,13.3],[0.0034,20.0],[0.0035,18.8],[0.0115,7.0]]",4.2,0.0007,22.0,0.0005,60.31,"[[0.0005,22.0],[0.0004,31.8],[0.0003,4.2],[0.0002,24.2],[0.0001,1.2]]",129837616296,85962.47,-0.12688,0.00024,-0.02586,-54.10671,2.74649,85962.47,BTC-1DEC25-85000-P,0.0,0.0007,64.54,0.0006,0.033,0.0001,93.8,,open,0.0022,0.0007,-46.1538,93.8,12955.55,1764568544820,2025-12-01T05:55:44.820000+00:00,SYN.BTC-1DEC25,85962.8182,False,289,1764568545446274,1764568545446563
2025-12-01T05:55:45.232000+00:00,1764568545232,BTC,0.0003,25,0.0001,1.0,USD,1764231120000,2025-11-27T08:12:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,556875,BTC-1DEC25-84000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,84000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-84000-P,P,84000.0,2.0,92.05,"[[0.0003,31.6],[0.0004,32.8],[0.0005,5.2],[0.0006,8.0],[0.0007,84.6],[0.0008,9.3],[0.0009,25.7],[0.001,8.0],[0.0012,8.0],[0.0014,8.0],[0.0015,8.0],[0.004,0.1],[0.008,0.1],[0.02,0.6],[0.105,3.0]]",31.6,0.0003,10.6,0.0001,75.56,"[[0.0001,10.6]]",129837612076,85962.47,-0.03655,7e-05,-0.00745,-16.26046,1.05708,85962.47,BTC-1DEC25-84000-P,0.0,0.0002,84.21,0.0002,0.0275,0.0001,117.3,0.0001409,open,0.002,0.0001,100.0,154.2,7274.8,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,264,1764568545436326,1764568545436590
2025-12-01T05:55:45.504000+00:00,1764568545504,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558144,BTC-1DEC25-85500-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,85500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-85500-P,P,85500.0,2.0,62.18,"[[0.0017,17.6],[0.0018,5.5],[0.0019,3.9],[0.002,6.0],[0.0022,34.0],[0.0023,22.2],[0.0024,5.5],[0.0026,0.6],[0.0029,0.1],[0.003,70.1],[0.0047,11.4],[0.0048,9.5],[0.0049,0.1],[0.006,0.1],[0.0075,17.2],[0.008,24.4],[0.009,0.1],[0.0175,5.0]]",17.6,0.0017,23.2,0.0014,56.33,"[[0.0014,23.2],[0.0013,27.2],[0.0012,24.5],[0.0011,6.1],[0.0009,1.0],[0.0008,63.2],[0.0006,0.1],[0.0004,5.0],[0.0001,4.0]]",129837609566,85962.47,-0.28234,0.00042,-0.0576,-137.25696,4.46252,85962.47,BTC-1DEC25-85500-P,0.0,0.0015,61.52,0.0017,0.038,0.0001,61.5,,open,0.0044,0.0015,-46.4286,61.9,14254.79,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,283,1764568545656962,1764568545657245
2025-12-01T05:55:45.537000+00:00,1764568545537,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556128,BTC-1DEC25-86000-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,86000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86000-C,C,86000.0,2.0,63.85,"[[0.0037,1.8],[0.0038,3.3],[0.0039,2.9],[0.004,16.9],[0.0041,18.8],[0.0042,5.5],[0.0043,0.1],[0.0047,0.6],[0.0049,8.0],[0.005,56.1],[0.0055,10.0],[0.0065,18.2],[0.007,18.2],[0.0085,20.8],[0.0105,3.0],[0.011,20.0]]",1.8,0.0037,6.2,0.0032,55.68,"[[0.0032,6.2],[0.0031,0.9],[0.003,3.3],[0.0029,30.6],[0.0028,16.0],[0.0027,1.0],[0.0025,0.6],[0.0023,0.1],[0.0021,56.1],[0.001,1.0],[0.0003,5.0]]",129837615139,85962.47,0.48328,0.0005,0.0973,-159.61701,5.26286,85962.47,BTC-1DEC25-86000-C,0.0,0.005,60.66,0.0035,0.0395,0.0001,28.8,0.05517381,open,0.0105,0.0047,-52.381,32.6,18593.34,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,267,1764568545682029,1764568545682296
2025-12-01T05:55:45.541000+00:00,1764568545541,BTC,0.0003,25,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556129,BTC-1DEC25-86000-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,86000.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86000-P,P,86000.0,2.0,64.92,"[[0.0042,0.6],[0.0043,2.9],[0.0044,3.9],[0.0045,2.8],[0.0046,1.5],[0.0047,15.9],[0.0049,0.4],[0.0055,56.5],[0.006,0.2],[0.0065,0.2],[0.01,0.1],[0.0105,9.4],[0.0115,8.1],[0.0145,16.8],[0.015,17.7],[0.02,0.1],[0.03,0.1],[0.105,2.3],[0.1165,2.2],[0.128,2.2]]",0.6,0.0042,1.7,0.004,61.66,"[[0.004,1.7],[0.0037,0.9],[0.0036,2.6],[0.0035,16.7],[0.0033,2.9],[0.0032,4.1],[0.0031,1.0],[0.003,8.6],[0.0028,0.1],[0.0026,55.9],[0.0018,4.0],[0.0001,0.2]]",129837612078,85962.47,-0.51672,0.0005,-0.10559,-159.61701,5.26286,85962.47,BTC-1DEC25-86000-P,0.0,0.004,60.66,0.0039,0.043,0.0001,301.7,0.00021203,open,0.0075,0.0001,1900.0,298.0,88263.09,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,304,1764568545686868,1764568545687172
2025-12-01T05:55:45.566000+00:00,1764568545566,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558145,BTC-1DEC25-86500-C,reversed,True,option,0.0003,0.1,call,btc_usd,BTC,BTC,day,86500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86500-C,C,86500.0,2.0,64.53,"[[0.0016,1.5],[0.0017,4.0],[0.0018,36.7],[0.0019,22.5],[0.002,13.0],[0.0021,1.0],[0.0023,0.1],[0.0025,65.3],[0.0026,8.0],[0.0031,11.8],[0.0036,25.0],[0.0037,35.3]]",1.5,0.0016,12.8,0.0012,56.37,"[[0.0012,12.8],[0.0011,21.9],[0.001,33.2],[0.0008,15.9],[0.0007,1.0],[0.0005,0.1],[0.0003,70.1]]",129837615134,85962.47,0.25615,0.0004,0.05166,-124.41339,4.24981,85962.47,BTC-1DEC25-86500-C,0.0,0.0019,61.47,0.0014,0.0345,0.0001,8.3,,open,0.0049,0.0019,-61.2245,8.8,2835.96,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,279,1764568545713502,1764568545713781
2025-12-01T05:55:45.567000+00:00,1764568545567,BTC,0.0003,25,0.0001,1.0,USD,1764560611000,2025-12-01T03:43:31+00:00,1764576000000,2025-12-01T08:00:00+00:00,558146,BTC-1DEC25-86500-P,reversed,True,option,0.0003,0.1,put,btc_usd,BTC,BTC,day,86500.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",BTC,1DEC25,BTC-1DEC25-86500-P,P,86500.0,2.0,86.2,"[[0.009,2.4],[0.0095,40.1],[0.0235,15.0],[0.024,15.0]]",2.4,0.009,40.4,0.0065,32.33,"[[0.0065,40.4],[0.0049,15.0],[0.0048,15.0],[0.0001,5.0]]",129837600004,85962.47,-0.74385,0.0004,-0.15242,-130.61501,4.24981,85962.47,BTC-1DEC25-86500-P,0.0,0.007,61.47,0.0077,0.049,0.0001,23.0,,open,0.007,0.006,0.0,23.0,13641.11,1764568544983,2025-12-01T05:55:44.983000+00:00,SYN.BTC-1DEC25,85962.6854,False,503,1764568545725024,1764568545725527
