fetch_ts_datetime,fetch_ts_ms,meta.instrument.base_currency,meta.instrument.block_trade_commission,meta.instrument.block_trade_min_trade_amount,meta.instrument.block_trade_tick_size,meta.instrument.contract_size,meta.instrument.counter_currency,meta.instrument.creation_timestamp,meta.instrument.creation_timestamp_datetime,meta.instrument.expiration_timestamp,meta.instrument.expiration_timestamp_datetime,meta.instrument.instrument_id,meta.instrument.instrument_name,meta.instrument.instrument_type,meta.instrument.is_active,meta.instrument.kind,meta.instrument.maker_commission,meta.instrument.min_trade_amount,meta.instrument.option_type,meta.instrument.price_index,meta.instrument.quote_currency,meta.instrument.settlement_currency,meta.instrument.settlement_period,meta.instrument.strike,meta.instrument.taker_commission,meta.instrument.tick_size,meta.instrument.tick_size_steps,parsed.base_currency,parsed.expiry_code,parsed.instrument_name,parsed.option_type,parsed.strike,rpc.jsonrpc,rpc.result.ask_iv,rpc.result.asks,rpc.result.best_ask_amount,rpc.result.best_ask_price,rpc.result.best_bid_amount,rpc.result.best_bid_price,rpc.result.bid_iv,rpc.result.bids,rpc.result.change_id,rpc.result.estimated_delivery_price,rpc.result.greeks.delta,rpc.result.greeks.gamma,rpc.result.greeks.rho,rpc.result.greeks.theta,rpc.result.greeks.vega,rpc.result.index_price,rpc.result.instrument_name,rpc.result.interest_rate,rpc.result.last_price,rpc.result.mark_iv,rpc.result.mark_price,rpc.result.max_price,rpc.result.min_price,rpc.result.open_interest,rpc.result.settlement_price,rpc.result.state,rpc.result.stats.high,rpc.result.stats.low,rpc.result.stats.price_change,rpc.result.stats.volume,rpc.result.stats.volume_usd,rpc.result.timestamp,rpc.result.timestamp_datetime,rpc.result.underlying_index,rpc.result.underlying_price,rpc.testnet,rpc.usDiff,rpc.usIn,rpc.usOut
2025-12-01T05:56:26.885000+00:00,1764568586885,ETH,0.0003,250,0.0001,1.0,USD,1764560770000,2025-12-01T03:46:10+00:00,1764576000000,2025-12-01T08:00:00+00:00,558173,ETH-1DEC25-2775-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,2775.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2775-C,C,2775.0,2.0,307.64,"[[0.0295,18.0],[0.0635,159.0]]",18.0,0.0295,18.0,0.0105,0.0,"[[0.0105,18.0],[0.0005,30.0]]",99513598253,2827.96,0.90077,0.00418,0.00588,-3.64513,0.0758,2827.96,ETH-1DEC25-2775-C,0.0,,96.18,0.0194,0.063,0.0001,0.0,,open,,,,0.0,0.0,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,256,1764568587028196,1764568587028452
2025-12-01T05:56:26.885000+00:00,1764568586885,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556151,ETH-1DEC25-2700-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,2700.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2700-P,P,2700.0,2.0,151.65,"[[0.0002,61.0],[0.0003,624.0],[0.0004,765.0],[0.0005,6.0],[0.0006,12.0],[0.0008,2494.0],[0.0009,400.0],[0.0025,1.0],[0.2125,94.0]]",61.0,0.0002,0.0,0.0,0.0,[],99513723940,2827.96,-0.01252,0.00055,-8e-05,-0.25618,0.01407,2827.96,ETH-1DEC25-2700-P,0.0,0.0002,135.1,0.0001,0.027,0.0001,758.0,7e-05,open,0.0018,0.0001,100.0,533.0,980.8,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,337,1764568587027754,1764568587028091
2025-12-01T05:56:26.885000+00:00,1764568586885,ETH,0.0003,250,0.0001,1.0,USD,1764560848000,2025-12-01T03:47:28+00:00,1764576000000,2025-12-01T08:00:00+00:00,558183,ETH-1DEC25-2750-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,2750.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2750-C,C,2750.0,2.0,938.48,"[[0.0715,153.0]]",153.0,0.0715,30.0,0.0001,0.0,"[[0.0001,30.0]]",99513653827,2827.96,0.95166,0.0021,0.00616,-2.39971,0.04361,2827.96,ETH-1DEC25-2750-C,0.0,,110.06,0.0279,0.0715,0.0001,0.0,,open,,,,0.0,0.0,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,341,1764568587030945,1764568587031286
2025-12-01T05:56:26.884000+00:00,1764568586884,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556150,ETH-1DEC25-2700-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,2700.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2700-C,C,2700.0,2.0,0.0,[],0.0,0.0,10.0,0.035,0.0,"[[0.035,10.0],[0.0315,10.0],[0.028,10.0],[0.0245,10.0],[0.021,10.0],[0.0175,10.0],[0.014,10.0],[0.0105,11.0],[0.007,11.0],[0.005,1.0],[0.004,1.0],[0.0035,10.0],[0.003,1.0],[0.0021,12.0],[0.002,4.0]]",99512982100,2827.96,0.98748,0.00055,0.00629,-0.95054,0.01407,2827.96,ETH-1DEC25-2700-C,0.0,0.098,135.1,0.0453,0.089,0.0003,2.0,0.10187,open,,,,0.0,0.0,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,309,1764568587032147,1764568587032456
2025-12-01T05:56:26.885000+00:00,1764568586885,ETH,0.0003,250,0.0001,1.0,USD,1764560848000,2025-12-01T03:47:28+00:00,1764576000000,2025-12-01T08:00:00+00:00,558184,ETH-1DEC25-2750-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,2750.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2750-P,P,2750.0,2.0,113.67,"[[0.0004,1.0],[0.0005,51.0],[0.0006,650.0],[0.0007,631.0],[0.0008,117.0],[0.001,35.0],[0.0012,2072.0],[0.0018,100.0],[0.0031,400.0],[0.0032,400.0]]",1.0,0.0004,284.0,0.0002,99.46,"[[0.0002,284.0],[0.0001,29.0]]",99513740466,2827.96,-0.04834,0.0021,-0.00032,-0.96416,0.04361,2827.96,ETH-1DEC25-2750-P,0.0,0.0003,110.06,0.0003,0.0325,0.0001,11.0,,open,0.0015,0.0003,-78.5714,11.0,36.07,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,330,1764568587033828,1764568587034158
2025-12-01T05:56:27.144000+00:00,1764568587144,ETH,0.0003,250,0.0001,1.0,USD,1764560770000,2025-12-01T03:46:10+00:00,1764576000000,2025-12-01T08:00:00+00:00,558174,ETH-1DEC25-2775-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,2775.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2775-P,P,2775.0,2.0,103.32,"[[0.0009,18.0],[0.001,657.0],[0.0011,618.0],[0.0012,128.0],[0.0013,8.0],[0.0016,200.0],[0.0017,2062.0],[0.007,367.0],[0.0075,400.0]]",18.0,0.0009,171.0,0.0005,88.27,"[[0.0005,171.0],[0.0004,624.0],[0.0003,574.0],[0.0002,6.0],[0.0001,208.0]]",99513754544,2827.96,-0.09923,0.00418,-0.00067,-1.96656,0.0758,2827.96,ETH-1DEC25-2775-P,0.0,0.0027,96.18,0.0007,0.0365,0.0001,2.0,,open,0.0027,0.0019,42.1053,2.0,12.96,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,261,1764568587286775,1764568587287036
2025-12-01T05:56:27.145000+00:00,1764568587145,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556152,ETH-1DEC25-2800-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,2800.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2800-C,C,2800.0,2.0,124.03,"[[0.0135,11.0],[0.055,200.0]]",11.0,0.0135,18.0,0.0095,0.0,"[[0.0095,18.0],[0.007,10.0],[0.0035,10.0],[0.0001,30.0]]",99513430162,2827.96,0.77683,0.00803,0.00511,-5.54581,0.12967,2827.96,ETH-1DEC25-2800-C,0.0,0.0105,85.54,0.0116,0.0545,0.0001,50.0,0.068973,open,0.0245,0.0105,-57.1429,50.0,2486.61,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,214,1764568587286908,1764568587287122
2025-12-01T05:56:27.149000+00:00,1764568587149,ETH,0.0003,250,0.0001,1.0,USD,1764550440000,2025-12-01T00:54:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,558087,ETH-1DEC25-2825-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,2825.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2825-P,P,2825.0,2.0,81.61,"[[0.0045,34.0],[0.0046,31.0],[0.0047,402.0],[0.0048,415.0],[0.0049,5.0],[0.005,100.0],[0.0055,76.0],[0.006,1408.0],[0.03,230.0],[0.0305,237.0]]",34.0,0.0045,66.0,0.0039,71.77,"[[0.0039,66.0],[0.0037,18.0],[0.0035,402.0],[0.0034,433.0],[0.0033,46.0],[0.0031,4.0],[0.003,100.0],[0.0029,5.0],[0.0018,1411.0]]",99513753349,2827.96,-0.46347,0.01168,-0.00312,-6.75398,0.17256,2827.96,ETH-1DEC25-2825-P,0.0,0.0075,78.28,0.0043,0.0485,0.0001,291.0,,open,0.009,0.0039,-16.6667,304.0,5924.66,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,265,1764568587293117,1764568587293382
2025-12-01T05:56:27.145000+00:00,1764568587145,ETH,0.0003,250,0.0001,1.0,USD,1764230412000,2025-11-27T08:00:12+00:00,1764576000000,2025-12-01T08:00:00+00:00,556153,ETH-1DEC25-2800-P,reversed,True,option,0.0003,1,put,eth_usd,ETH,ETH,day,2800.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2800-P,P,2800.0,2.0,89.84,"[[0.0019,5.0],[0.002,511.0],[0.0021,518.0],[0.0022,64.0],[0.0024,314.0],[0.0026,7.0],[0.0028,100.0],[0.0033,1686.0],[0.0045,80.0],[0.0145,1.0],[0.016,297.0],[0.0165,346.0],[0.018,1.0],[0.027,75.0],[0.062,50.0],[0.0975,50.0]]",5.0,0.0019,9.0,0.0015,81.11,"[[0.0015,9.0],[0.0014,35.0],[0.0013,124.0],[0.0012,521.0],[0.0011,534.0],[0.001,6.0],[0.0009,305.0],[0.0004,1716.0],[0.0001,1.0]]",99513747298,2827.96,-0.22317,0.00803,-0.0015,-4.79666,0.12967,2827.96,ETH-1DEC25-2800-P,0.0,0.0017,85.54,0.0017,0.0415,0.0001,3561.0,0.000439,open,0.007,0.0002,240.0,1639.0,10619.65,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,341,1764568587297921,1764568587298262
2025-12-01T05:56:27.147000+00:00,1764568587147,ETH,0.0003,250,0.0001,1.0,USD,1764550440000,2025-12-01T00:54:00+00:00,1764576000000,2025-12-01T08:00:00+00:00,558086,ETH-1DEC25-2825-C,reversed,True,option,0.0003,1,call,eth_usd,ETH,ETH,day,2825.0,0.0003,0.0001,"[{""tick_size"":0.0005,""above_price"":0.005}]",ETH,1DEC25,ETH-1DEC25-2825-C,C,2825.0,2.0,81.12,"[[0.0055,5.0],[0.006,478.0],[0.0065,71.0],[0.007,1405.0],[0.0085,100.0],[0.02,231.0],[0.0205,251.0]]",5.0,0.0055,66.0,0.0048,69.65,"[[0.0048,66.0],[0.0045,18.0],[0.0044,425.0],[0.0043,38.0],[0.0039,3.0],[0.0037,5.0],[0.0031,1400.0],[0.003,100.0]]",99513754968,2827.96,0.53653,0.01168,0.00354,-6.75398,0.17256,2827.96,ETH-1DEC25-2825-C,0.0,0.0047,78.28,0.0053,0.0465,0.0001,39.0,,open,0.012,0.0034,-60.8333,42.0,721.54,1764568586142,2025-12-01T05:56:26.142000+00:00,SYN.ETH-1DEC25,2827.9116,False,235,1764568587294352,1764568587294587
